ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
758e3cb5-0898-41f2-a3fc-d7a30d61b010,23500000000,3,4,248.0,2,1,0,0,0,0,0,1,1,0,0,0,0,ho-chi-minh,houses,0,
108666,51800000000,4,4,691.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
106794,44888000000,4,4,600.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
99480,59706000000,4,4,500.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
108668,51361000000,4,4,691.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
105361,20326000000,3,4,186.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
99484,25811000000,4,5,436.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
99483,43600000000,4,5,436.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
99031,21747000000,4,5,230.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
73567,31729000000,4,4,406.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
79982,115000000000,5,7,700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
58028,20000000000,6,7,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
50105,25000000000,4,5,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
c99cc67e-dfa5-48d5-9d2b-182f9ff290a6,14000000000,4,5,168.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
919f2185-d58c-481e-aaf4-edc6223971bf,15500000000,11,12,420.0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
5c2c9e8c-ec82-4b62-a653-815783d77fee,15500000000,11,12,450.0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
4579f430-72e9-48d0-91b9-8ab6886defa3,12200000000,4,5,168.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
339fd107-622e-4025-b220-d2401466e68e,12500000000,2,3,130.0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
162156c1-22d4-4ca4-b65d-812d2d88d996,15500000000,11,12,420.0,6,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
11a6d43e-9307-4c9d-89b9-5264c0a2400c,16800000000,3,4,216.0,2,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
79724f19-860c-4c27-96bd-613d8d51b3a5,14800000000,5,6,216.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
12e9486f-4e40-4756-bef8-8d6530219cff,17500000000,6,7,400.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
993245c1-7b86-4bbb-a5fd-3a97a2d43a61,651000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
8f753e2c-54ee-4ce7-84f6-4e60155ee1ce,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
8c400703-9a19-4415-adc8-ff36f0ea4f5a,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
73aff120-d941-4dc2-894f-e1bfc2e314f5,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
7292c100-83a6-4469-97cb-26bdcf2f58ed,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
624cfd4a-ec6a-4190-97fc-608fc8cf665d,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
2f1b3983-536f-4f23-9216-901deb6f37e0,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
2280f30d-961b-4d41-8e3e-f6fbe63e441a,650000000,2,2,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
109886,19473000000,3,4,332.0,0,0,1,0,1,1,0,0,1,1,0,1,0,ho-chi-minh,houses,0,
91330,39423000000,5,5,410.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,houses,0,
81896,48000000000,5,6,337.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
85093,20000000000,4,3,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
c96e1bbd-1b37-461d-b527-d13c3a4f3586,18500000000,5,6,256.0,4,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
c79f1d28-adc8-41a4-9618-93333348bfd7,11800000000,8,9,280.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
83119,49028000000,5,5,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,houses,0,
